DISTS,energy
,0.55,-37.72038623
,0.60,-38.45605109
,0.70,-39.41131994
,0.80,-39.93606841
,0.90,-40.20881916
,1.00,-40.33043345
,1.10,-40.36183348
,1.20,-40.34054399
,1.30,-40.28970150
,1.40,-40.22357496
,1.50,-40.15102091
,1.60,-40.07759478
,1.70,-40.00678266
,1.80,-39.94071557
,1.90,-39.88059592
,2.00,-39.82694120
,2.10,-39.77969269
,2.20,-39.73825595
,2.30,-39.70171471
,2.40,-39.66970447
,2.50,-39.64285913
,2.60,-39.62126885
,2.70,-39.60404747
,2.80,-39.59017952
,2.90,-39.57888958
,3.00,-39.56963842
,3.10,-39.56205198
,3.20,-39.55586435
,3.30,-39.55087977
,3.40,-39.54694810
,3.50,-39.54394905
