Temperature[K];   qtunn_Ia;           qtunn_Ec;
300,0 ;        4,508023e+00;        5,239305e+00;
400,0 ;        2,203093e+00;        2,470705e+00;
500,0 ;        1,631171e+00;        1,786855e+00;
600,0 ;        1,395554e+00;        1,504961e+00;
700,0 ;        1,272317e+00;        1,357811e+00;
800,0 ;        1,197842e+00;        1,269887e+00;
900,0 ;        1,147986e+00;        1,212545e+00;
1000,0;        1,111861e+00;        1,172777e+00;
1100,0;        1,083966e+00;        1,143907e+00;
1200,0;        1,061291e+00;        1,122196e+00;
